method,dataset,site,horizon_steps,forecast_kind,mae,rmse,sum_absolute_error,sum_squared_error,points,origins
E1_original_chronos2,MMSP_published_series,36,24,raw,0.052947867661714554,0.11045461893081665,3234.0556640625,745.1895751953125,61080,2545
E1_original_chronos2,MMSP_published_series,36,24,post,0.05294476076960564,0.11045461148023605,3233.865966796875,745.189453125,61080,2545
E0_last_value,MMSP_published_series,48,1,raw,0.06481602787971497,0.11456312984228134,164.956787109375,33.40238952636719,2545,2545
E0_last_value,MMSP_published_series,48,1,post,0.06546099483966827,0.11454355716705322,166.59823608398438,33.39097595214844,2545,2545
E0_last_value,MMSP_published_series,48,4,raw,0.12818555533885956,0.21655482053756714,1304.928955078125,477.4011535644531,10180,2545
E0_last_value,MMSP_published_series,48,4,post,0.1286325752735138,0.21641524136066437,1309.4796142578125,476.78594970703125,10180,2545
E0_last_value,MMSP_published_series,48,24,raw,0.24080246686935425,0.35053110122680664,14708.21484375,7505.025390625,61080,2545
E0_last_value,MMSP_published_series,48,24,post,0.24077121913433075,0.3501341640949249,14706.3056640625,7488.03759765625,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,48,1,raw,0.0819617286324501,0.17389589548110962,208.59259033203125,76.96024322509766,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,48,1,post,0.08264946937561035,0.17382869124412537,210.3428955078125,76.90077209472656,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,48,4,raw,0.0819617286324501,0.17389588057994843,834.370361328125,307.8409423828125,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,48,4,post,0.08264946937561035,0.17382869124412537,841.37158203125,307.60308837890625,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,48,24,raw,0.08185403794050217,0.17382566630840302,4999.64453125,1845.55419921875,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,48,24,post,0.08254067599773407,0.17375843226909637,5041.58447265625,1844.1268310546875,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,48,1,raw,0.0724429115653038,0.14324653148651123,184.36721801757812,52.22229766845703,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,48,1,post,0.0731610357761383,0.14325091242790222,186.19483947753906,52.225494384765625,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,48,4,raw,0.0724429115653038,0.14324653148651123,737.4688720703125,208.8892059326172,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,48,4,post,0.0731610432267189,0.14325091242790222,744.7794189453125,208.90199279785156,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,48,24,raw,0.07260320335626602,0.14340776205062866,4434.603515625,1256.1583251953125,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,48,24,post,0.07332014292478561,0.14341214299201965,4478.39453125,1256.235107421875,61080,2545
E1_original_chronos2,MMSP_published_series,48,1,raw,0.037944626063108444,0.08013279736042023,96.56907653808594,16.342121124267578,2545,2545
